Países	acteco
Afganistán	19
Albania	2.7
Angola	9.7
Argelia	4.9
Argentina	1.8
Armenia	3.9
Bangladesh	5.9
Barbados	1.7
Belice	2.3
Benín	17
Bielorrusia	1.4
Birmania	1.1
Bolivia	15
Brasil	1.2
Burkina Faso	33.9
Burundi	20.5
Bután	1.7
Camboya	11.5
Chad	17.7
Chile	2.4
Colombia	2
Comoras	19.3
Congo	9.2
Costa de Marfil	17.5
Costa Rica	3.4
Ecuador	4.9
Egipto	3.3
El Salvador	6.7
Estados Unidos	0.3
Esuatini	8.4
Etiopia	41.7
Gabón	15.3
Gambia	13.6
Georgi	1.8
Ghana	7.5
Guatemala	15.7
Guayana	2.7
Guinea	19.5
Guinea-Bisáu	9.1
Haiti	28.5
Honduras	8.4
India	1.1
Indonesia	2.6
Irak	3.1
Irán	32.9
Jamaica	2.7
Jordania	1.2
Kirguistan	20.1
Kiribati	7.11
Laos	26.3
Lesoto	8.2
Liberia	11.9
Macedonia del Norte	9.1
Madagascar	29.9
Malaui	25.6
Mali	17.3
Mauritania	12.6
Mexico	3.5
Mongolia	7.9
Nepal	19
Niger	51.9
Pakistán	10
Panamá	2.4
Paraguay	15.5
Perú	9.1
República Centroafricana	23.2
República Dominicana	5.6
Ruanda	4
Santo Tomé y Principe	12.8
Senegal	17.1
Serbia	15.6
Sierra Leona	21
Sri Lanka	0.8
Sudán	15.3
Surinam	3.5
Tailandia	0.9
Tanzania	22.8
Timor Oriental	8.5
Tonga	25.9
Trinidad y Tobago	0.8
Ucrania	4
Uganda	7.7
Vanuatu	16
Venezuela	6.9
Vietnam	3.2
Vietnam	7
Zambia	3
	
